Date, Open, High, Low, Close
08/03/20, 2522.53, 2523.78, 2478.39, 2484.91
07/30/20, 2581.66, 2581.66, 2511.02, 2529.82
07/29/20, 2581.48, 2586.16, 2564.46, 2573.45
07/28/20, 2587.81, 2603.31, 2580.89, 2582.97
07/27/20, 2589.95, 2598.68, 2570.86, 2575.79
07/24/20, 2603.64, 2603.83, 2572.93, 2579.51
07/23/20, 2596.88, 2622.81, 2592.57, 2612.35
07/22/20, 2622.02, 2594.53, 2594.53, 2594.53
07/21/20, 2629.33, 2644.51, 2622.97, 2629.45
07/20/20, 2618.01, 2616.30, 2616.30, 2616.30
07/17/20, 2618.48, 2640.38, 2618.48, 2618.48
07/16/20, 2651.93, 2661.95, 2621.02, 2623.67
07/15/20, 2643.76, 2658.90, 2641.80, 2648.90
07/14/20, 2617.98, 2631.81, 2604.95, 2620.19
07/13/20, 2669.98, 2670.93, 2629.68, 2631.08
07/09/20, 2678.92, 2679.98, 2652.07, 2652.65
07/08/20, 2665.51, 2677.40, 2653.02, 2669.49
07/07/20, 2705.10, 2707.67, 2657.94, 2661.42
07/06/20, 2662.41, 2696.01, 2653.37, 2689.61
07/03/20, 2652.94, 2660.27, 2637.13, 2652.94
07/02/20, 2607.49, 2636.69, 2597.61, 2636.69
07/01/20, 2604.08, 2619.35, 2597.29, 2610.17
06/30/20, 2595.27, 2610.99, 2589.91, 2589.91
06/29/20, 2589.74, 2598.06, 2572.23, 2574.10
06/26/20, 2603.43, 2619.65, 2600.50, 2604.51
06/25/20, 2590.15, 2605.33, 2574.85, 2590.15
06/24/20, 2628.62, 2647.49, 2615.72, 2628.62
06/23/20, 2634.92, 2641.08, 2583.99, 2634.92
06/22/20, 2638.15, 2652.38, 2627.46, 2629.69
06/19/20, 2634.83, 2658.93, 2634.83, 2634.83
06/18/20, 2665.66, 2678.03, 2645.61, 2665.66
06/17/20, 2677.99, 2679.57, 2644.18, 2669.62
06/16/20, 2664.60, 2688.99, 2663.75, 2666.85
06/15/20, 2652.80, 2661.61, 2606.15, 2613.88
06/12/20, 2684.63, 2690.77, 2609.03, 2684.63
06/11/20, 2785.19, 2704.21, 2704.21, 2704.21
06/10/20, 2805.81, 2800.57, 2800.57, 2800.57
06/09/20, 2810.44, 2839.39, 2783.30, 2794.17
06/08/20, 2796.97, 2798.98, 2766.35, 2796.97
06/05/20, 2714.55, 2755.80, 2702.60, 2751.50
06/04/20, 2733.57, 2755.55, 2684.07, 2707.20
06/03/20, 2700.39, 2700.39, 2637.41, 2700.39
06/02/20, 2611.63, 2611.63, 2562.09, 2611.63
06/01/20, 2550.86, 2578.27, 2516.46, 2550.86
05/29/20, 2510.75, 2516.78, 2489.94, 2510.75
05/28/20, 2515.24, 2531.56, 2509.10, 2515.24
05/27/20, 2519.48, 2537.79, 2509.59, 2519.48
05/26/20, 2530.30, 2544.46, 2516.89, 2530.30
05/22/20, 2533.04, 2534.90, 2490.70, 2499.83
05/21/20, 2555.34, 2583.03, 2554.68, 2555.34
05/20/20, 2583.37, 2561.94, 2561.94, 2561.94
05/19/20, 2581.33, 2596.41, 2579.61, 2581.33
05/18/20, 2539.28, 2551.63, 2524.66, 2539.28
05/15/20, 2535.99, 2523.55, 2523.55, 2523.55
05/14/20, 2546.64, 2551.00, 2521.47, 2522.31
05/13/20, 2572.01, 2584.17, 2567.45, 2572.01
05/12/20, 2582.55, 2587.81, 2587.81, 2587.81
05/11/20, 2611.31, 2611.74, 2590.66, 2611.31
05/08/20, 2591.88, 2602.43, 2579.36, 2591.88
05/06/20, 2566.69, 2608.01, 2565.94, 2591.60
05/05/20, 2572.36, 2595.13, 2572.36, 2572.36
05/04/20, 2555.67, 2575.14, 2536.63, 2563.69
04/30/20, 2600.01, 2633.92, 2592.61, 2624.23
04/29/20, 2574.73, 2579.27, 2554.77, 2574.73
04/28/20, 2559.87, 2562.95, 2562.95, 2562.95
04/27/20, 2549.40, 2562.35, 2525.60, 2549.40
04/24/20, 2530.03, 2533.75, 2501.58, 2518.16
04/23/20, 2549.87, 2563.12, 2539.84, 2542.37
04/22/20, 2530.97, 2556.05, 2507.83, 2550.04
04/21/20, 2591.98, 2601.15, 2551.92, 2551.92
04/20/20, 2622.67, 2597.85, 2597.85, 2597.85
04/17/20, 2661.28, 2671.58, 2609.14, 2614.60
04/16/20, 2581.45, 2612.25, 2612.25, 2612.25
04/15/20, 2605.56, 2650.52, 2591.16, 2605.56
04/14/20, 2634.57, 2647.50, 2566.09, 2634.57
04/13/20, 2561.41, 2572.50, 2544.90, 2567.25
04/09/20, 2564.84, 2596.19, 2559.27, 2571.32
04/08/20, 2539.44, 2551.65, 2507.13, 2539.44
04/07/20, 2506.25, 2571.89, 2571.89, 2571.89
04/06/20, 2470.59, 2477.31, 2411.27, 2470.59
04/03/20, 2451.47, 2454.79, 2380.84, 2389.29
04/02/20, 2402.43, 2453.03, 2453.03, 2453.03
04/01/20, 2468.17, 2481.44, 2419.10, 2440.27
03/31/20, 2454.17, 2487.65, 2454.17, 2481.23
03/30/20, 2416.24, 2480.45, 2409.69, 2416.24
03/27/20, 2545.64, 2561.37, 2511.21, 2528.76
03/26/20, 2487.56, 2519.32, 2433.43, 2487.56
03/25/20, 2429.57, 2510.76, 2390.71, 2505.47
03/24/20, 2362.05, 2372.35, 2291.25, 2362.05
03/23/20, 2233.48, 2274.38, 2208.42, 2233.48
03/20/20, 2314.78, 2433.14, 2312.53, 2410.74
03/19/20, 2415.36, 2441.10, 2303.90, 2311.00
03/18/20, 2472.53, 2532.39, 2420.86, 2425.62
03/17/20, 2469.73, 2517.10, 2454.53, 2454.53
03/16/20, 2495.77, 2590.91, 2495.77, 2495.77
03/13/20, 2555.51, 2676.84, 2510.88, 2634.00
03/12/20, 2678.64, 2752.64, 2666.05, 2678.64
03/11/20, 2837.69, 2783.72, 2783.72, 2783.72
03/10/20, 2832.54, 2853.69, 2756.88, 2832.54
03/09/20, 2891.59, 2891.65, 2772.70, 2782.37
